"All", "Wszystko"
"For shipping to multiple family members and friends", "Koszty wysyłki do wielu członków rodziny i przyjaciół"
"Billing Info", "Informacje rozliczeniowe"
"Payment Method", "Metoda płatności"
"Backup options", "Opcje kopii zapasowej"
"Warning", "Ostrzeżenie"
"The widget %1 is no longer available. Select a different widget.", "Widżet %1 nie jest już dostępny. Wybierz inny widżet."
"Recent items", "Ostatnie produkty"
"Show all...", "Pokaż wszystkie..."
"Please enter a number greater 0 in this field.", "Prosimy o podanie numeru większego od 0 w tym polu."
"Please select one of each ratings above.", "Wybierz jedną z powyższych ocen."
"Please specify Url.", "Proszę podać adres URL."
"Method %s does not exist on jQuery.decorate", "Metoda %s nie istnieje na jQuery.decorate"
"Please wait...", "Proszę czekać..."
"All %1", "Wszystko %1"
"Translate", "Przetłumacz"
"Please remove invalid characters: {0}.", "Proszę usunąć niepoprawne znaki: {0}."
"Forbidden extensions has been used. Avoid usage of ", "Użyto zabronionych rozszerzeń. Unikaj używania "
"Please select one of the options above.", "Proszę wybrać jedną opcje z dostępnych."
"Please select a file.", "Proszę wybrać plik."
"Please select one of the options.", "Proszę wybrać jedną z opcji."
"Please enter a value less than or equal to %s.", "Podaj wartość mniejszą niż lub równą %s."
"Please enter a value greater than or equal to %s.", "Podaj wartość większa niż lub równa %s."
"Card type does not match credit card number.", "Typ karty nie zgadza się z podanym numerem karty."
"Credit card number does not match credit card type.", "Numer karty nie zgadza się z podanym typem karty."
"Incorrect credit card expiration date.", "Nieprawidłowa data wygaśnięcia karty."
"Please enter less or equal than %1 symbols.", "Podaj mniej lub dokładnie %1 symboli."
"Please enter more or equal than %1 symbols.", "Podaj więcej lub dokładnie %1 symboli."
"Please enter a valid value from list", "Wprowadź prawidłową wartość z listy"
"Please enter valid SKU key.", "Proszę wpisać prawidłową nazwę SKU."
"Please enter a valid number.", "Proszę wpisać poprawną cyfrę."
"This is required field", "To pole jest wymagane"
"Admin is a required field in each row.", "Pole ""Admin"" jest wymagane w każdym wierszu."
"The maximum you may purchase is %1.", "Maksymalnnie, które możesz kupić, to %1."
"Please fix this field.", "Popraw to pole."
"Please enter a valid URL.", "Wprowadź prawidłowy adres URL."
"Please enter a valid date (ISO).", "Wprowadź prawidłową datę (ISO)."
"Please enter only digits.", "Wprowadź tylko cyfry."
"Please enter the same value again.", "Wpisz ponownie tę samą wartość."
"Please enter no more than {0} characters.", "Wprowadź nie więcej niż {0} znaków."
"Please enter at least {0} characters.", "Wprowadź przynajmniej {0} znaków."
"Please enter a value between {0} and {1} characters long.", "Wprowadź wartość o liczbie znaków pomiędzy {0} a {1}."
"Please enter a value between {0} and {1}.", "Wprowadź wartość pomiędzy {0} a {1}."
"Please enter a date between %min and %max.", "Prosimy wprowadzić datę między % min i % max."
"Please enter a valid full date.", "Wprowadź prawidłową pełną datę."
"Please enter a valid month (1-12).", "Prosimy wpisać poprawny miesiąc (1-12)."
"Please enter a valid year (1900-%1).", "Prosimy wpisać poprawny rok (1900-%1)."
"Please enter a valid day (1-%1).", "Prosimy wpisać poprawny dzień (1-%1)."
"Please enter a date from the past.", "Prosimy wprowadzić datę z przeszłości."
"custom.definition", "custom.definition"
"component.behaviours", "component.behaviours"
"Braintree Virtual Terminal", "Wirtualny terminal Braintree"
"Please configure your Braintree Payments account in order to use the virtual terminal.", "Aby korzystać z wirtualnego terminala, musisz założyć konto Braintree Payments."
"Take Payment", "Przyjmij płatność"
"Braintree Transaction Source", "Źródło transakcji Braintree"
"Allocated sources", "Przydzielone źródła"
"Pickup Location Code", "Kod lokalizacji odbioru"
"No Payment Information Required", "Informacja o płatności nie jest wymagana"
"Active From", "Aktywny od"
"Active To", "Aktywny do"
"Country of Manufacture", "Kraj produkcji"
"Set Product as New from Date", "Ustaw produkt jako nowy od daty"
"Set Product as New to Date", "Ustaw produkt jako nowy do daty"
"Manufacturer", "Producent"
"Special Price", "Cena specjalna"
"Special Price From Date", "Cena specjalna od daty"
"Special Price To Date", "Cena specjalna do daty"
"Short Description", "Krótki opis"
"Show / Hide Editor", "Pokaż / ukryj edytor"
"Delete image in all store views", "Usuń obraz na wszystkich widokach sklepu"
"Delete image", "Usuń obraz"
"Maximum file size", "Maksymalny rozmiar pliku"
"Allowed file types", "Dozwolone typy plików"
"Media Gallery", "Galeria multimediów"
"Base", "Bazowy"
"No Update", "Bez aktualizacji"
"Empty", "Pusty"
"1 column", "1 kolumna"
"2 columns with left bar", "2 kolumny z lewym menu"
"2 columns with right bar", "2 kolumny z prawym menu"
"3 columns", "3 kolumny"
"Page -- Full Width", "Strona - pełna szerokość"
"Category -- Full Width", "Kategoria - pełna szerokość"
"Product -- Full Width", "Produkt - pełna szerokość"
"Aggregated inventory available to purchase for a stock. The amount aggregates assigned source's Quantity subtracting the Out-of-Stock Threshold (or MinQty).", "Zagregowane zapasy dostępne do zakupu dla danego magazynu. Ilość jest sumą ilości przypisanej do źródła po odjęciu progu wyczerpania zapasów (lub min. ilości)."
"Created For", "Utworzone dla"
"Apply Template", "Zastosuj szablon"
"Save as Template", "Zapisz jako szablon"
"Close Full Screen", "Zamknij pełny ekran"
"Desktop", "Desktop"
"View your content for ", "Zobacz swoje treści dla "
"Mobile", "Mobilne"
"Add Content", "Dodaj zawartość"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.", "Jeśli Twoja instalacja Magento ma wiele witryn internetowych, możesz edytować zakres, aby powiązać klienta z określoną witryną."
"Associate to Website", "Powiąż z witryną"
"Allow remote shopping assistance", "Zezwalaj na zdalną pomoc w zakupach"
"Excluded Website(s)", "Wykluczone witryny"
"Select websites you want to exclude from this customer group.", "Wybierz witryny, które chcesz wykluczyć z tej grupy klientów."
"dotdigital Coupon URL Builder", "Kreator URL kuponów"
"Expires After (days)", "Wygasa po (dni)"
"Allow Resend", "Zezwól na ponowne wysłanie"
"This allows a previously generated coupon code to be resent to the same customer. If set to no, a new coupon will be generated.", "Pozwala to na ponowne wysłanie wcześniej wygenerowanego kodu kuponu do tego samego klienta. Jeśli ustawione na nie, zostanie wygenerowany nowy kupon."
"Cancel Send If Used", "Anuluj wysyłanie, jeśli użyty"
"Enable this to ensure the send will be cancelled (if the coupon has been used) or regenerated (if the coupon has expired). If set to no, the latest generated coupon will be displayed.", "Włącz tę opcję, aby upewnić się, że wysyłka zostanie anulowana (jeśli kupon został wykorzystany) lub zregenerowana (jeśli kupon wygasł). Jeśli ustawione na nie, zostanie wyświetlony ostatni wygenerowany kupon."
"Coupon Codes URL", "URL kodu kuponu"
"Click to copy URL", "Kliknij, aby skopiować URL"
"Hard-declined Authorization", "Twardo odrzucona autoryzacja"
"Soft-declined Authorization", "Miękko odrzucona autoryzacja"
"dotdigital System Alert", "Alert systemowy"
"Rule Type", "Typ reguły"
"Rule Status", "Status reguły"
"Exclusion Rule Conditions", "Warunki reguły wykluczenia"
"Conditions Combination Match", "Dopasowanie kombinacji warunków"
"Exclusion Rule", "Reguła wykluczenia"
"Choose ANY if using multi line conditions for same attribute. If multi line conditions for same attribute is used and ALL is chosen then multiple lines for same attribute will be ignored.", "Wybierz DOWOLNY, jeśli używasz warunków wielowierszowych dla tego samego atrybutu. Jeśli użyto warunków wielowierszowych dla tego samego atrybutu i wybrano WSZYSTKO, wiele wierszy dla tego samego atrybutu zostanie zignorowanych."
"is empty", "jest pusty"
"equal to or greater than", "równy lub większy niż"
"equal to or less than", "równy lub mniejszy niż"
"User agent exceptions override product and CMS pages rules.", "Wyjątki klienta użytkownika zastępują reguły dotyczące produktów i stron CMS."
"Add New User Agent Rule", "Dodaj nową regułę agenta użytkownika"
"Examples", "Przykłady"
"Store Design Schedule", "Harmonogram projektu sklepu"
"Source Code", "Kod źródłowy"
"Yotpo Analytics", "Analityka Yotpo"
"Campaign Id", "ID kampanii"
"Order Increment Id", "Identyfikator przyrostu zamówienia"
"Quote Id", "ID oferty"
"Checkout Method", "Metoda zamówienia"
"Sent At", "Wysłano o"
"Send Id", "ID wysyłki"
"Send Status", "Status wysyłki"
"SMS Sends Report", "Raport wysyłki SMS"
"dotdigital Log Viewer", "Przegląd logów"
"Select Log File:", "Wybierz plik logów:"
"Reload", "Przeładuj"
"Marketing Automation Log", "Logi automatyzacji marketingu"
"Magento System Log", "Logi systemowe Magento"
"Magento Exception Log", "Logi wyjątków Magento"
"Magento Debug Log", "Logi debugowania Magento"
"Abandoned Cart Report", "Raport porzuconych koszyków"
"Quote Updated At", "Oferta zaktualizowana o"
"Abandoned Cart Number", "Numer porzuconego koszyka"
"Item Count", "Ilość sztuk"
"Item Ids", "Identyfikatory przedmiotów"
"Manage Sources", "Zarządzanie źródłami"
"Add New Source", "Dodaj nowe źródło"
"Is Enabled", "Jest włączony"
"Pickup Location", "Miejsce odbioru"
"Save & Continue", "Zapisz i kontynuuj"
"The Default Source must be enabled. A default source is required for single source merchants and product migration.", "Musi być włączona opcja Źródło domyślne. Domyślne źródło jest wymagane dla handlowców z jednym źródłem i migracji produktów."
"Latitude", "Szerokość geograficzna"
"Longitude", "Długość geograficzna"
"Use as Pickup Location", "Użyj jako miejsca odbioru"
"The Default Source can not be used for In-Store Pickup Delivery.", "Domyślnego źródła nie można użyć w przypadku dostawy do punktu odbioru w sklepie."
"Contact Info", "Informacje kontaktowe"
"Address Data", "Dane adresowe"
"Street", "Ulica"
"Postcode", "Kod pocztowy"
"Edit Source: Default Source", "Edycja źródła: Domyślne źródło"
"Add New Stock", "Dodaj nowy zasoby"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.", "Może być używany tylko z typami danych wejściowych katalogu Tak/Nie, Rozwijane, Wielokrotne wybieranie i Cena."
"Customers and Addresses (single file)", "Klienci i adresy (pojedyńczy plik)"
"Customers Main File", "Klienci - główny plik"
"Customer Addresses", "Adresy klienta"
"Stock Sources", "Źródła zasobów"
"Inventory index (MSI)", "Indeks zapasów (MSI)"
"Klarna Logs", "Dziennik zdarzeń Klarna"
"Increment ID", "ID przyrostu"
"Created at", "Utworzono w"
"--Please Select--", "--Proszę wybrać--"
"-- Please Select --", "-- Proszę wybrać --"
"Catalog media URL format", "Format URL katalogu media"
"Advanced Content Tools", "Zaawansowane narzędzia treści"
"Enable Page Builder", "Włącz Kreatora Stron"
"Enable Page Builder Content Preview", "Włącz podgląd zawartości Kreatora Stron"
"Google Maps API Key", "Klucz API Map Google"
"Google Maps Style", "Styl Map Google"
"Default Column Grid Size", "Domyślny rozmiar siatki kolumn"
"Maximum Column Grid Size", "Maksymalny rozmiar siatki kolumn"
"Delivery Methods", "Metody dostawy"
"Hello", "Witaj"
"Hello,", "Witaj"
"Placed on %created_at", "Złożone w dniu %created_at"
"Placed on <span class=""no-link"">%created_at</span>", "Złożone w dniu <span class=""no-link"">%created_at</span>"
"Our hours are <span class=""no-link"">%store_hours</span>.", "Godziny otwarcia sklepu: <span class=""no-link"">%store_hours</span>."
"or call us at <a href=""tel:%store_phone"">%store_phone</a>", "lub skontaktuj się telefonicznie: <a href=""tel:%store_phone"">%store_phone</a>"
"or call us at %store_phone", "lub skontaktuj się telefonicznie: %store_phone"
"Shipping Info", "Informacje o dostawie"
"User Notification", "Powiadomienie użytkownika"
"New User Notification", "Powiadomienie o nowym koncie administratora"
"Forgot Admin Password", "Zapomniane hasło administratora"
"Send Product Link to Friend", "Wyślij znajomemu link do produktu"
"SMTP Test Email", "SMTP - e-mail testowy"
"SMTP Resend Email", "SMTP - ponowne wysłanie e-mail"
"Shipment Update", "Aktualizacja przesyłki"
"Shipment Update for Guest", "Aktualizacja przesyłki dla gościa"
"Order Update", "Aktualizacja zamówienia"
"Order Update for Guest", "Aktualizacja zamówienia dla gościa"
"New Order for Guest", "Nowe zamówienie dla gościa"
"New Shipment for Guest", "Nowa dostawa dla gościa"
"New Invoice for Guest", "Nowa faktura dla gościa"
"Invoice Update", "Aktualizacja faktury"
"Invoice Update for Guest", "Aktualizacja faktury dla gościa"
"New Credit Memo", "Korekta zamówienia"
"New Credit Memo for Guest", "Korekta zamówienia dla gościa"
"Credit Memo Update", "Atualizacja korekty zamówienia"
"Credit Memo Update for Guest", "Aktualizacja korekty zamówienia dla gościa"
"Stock Alert", "Powiadomienie o stanie magazynowym"
"Price Alert", "Powiadomienie o cenie"
"Cron Error Warning", "Ostrzeżenie o błędzie cron'a"
"Subscription Confirmation", "Potwierdzenie subskrypcji"
"Subscription Success", "Sukces subskrypcji"
"Unsubscription Success", "Sukces rezygnacji z subskrypcji"
"Order is Ready for Pickup", "Zamówienie gotowe do odbioru"
"Order is Ready for Pickup For Guest", "Zamówienie gotowe do odbioru dla gościa"
"Remind Password", "Przypomnij hasło"
"New Account Confirmed", "Potwierdzenie nowego konta"
"New Account Without Password", "Potwierdzenie nowego konta bez hasła"
"New Account Confirmation Key", "Klucz potwierdzający nowe konto"
"Payment Failed", "Niepowidzenie płatności"
"Email Form", "Formularz e-mail"
"Sources", "Źródła"
"Stocks", "Stany magazynowe"
"Sales Channels", "Kanały sprzedaży"
"Assigned Sources", "Przypisane źródła"
"Assign Inventory Source", "Przypisz źródło zapasów"
"Unassign Inventory Source", "Anuluj przypisanie źródła zapasów"
"Transfer Inventory To Source", "Przenieś zapasy do źródła"
"Admin Name", "Nazwa admina"
"Logged In", "Zalogowany"
"Area", "Obszar"
"Marketing Automation", "Automatyzacja marketingu"
"Automation", "Automatyzacja"
"Campaigb", "Kampania"
"Popup Forms", "Formularze popup"
"Customer Engagement", "Zaangażowanie klienta"
"Exclusion Rules", "Zasady wykluczania"
"Templates", "Szablony"
"Import Report", "Raport importu"
"Import Status", "Status importu"
"Import Type", "Typ importu"
"Import Started", "Rozpoczęcie importu"
"Import Finished", "Zakończenie importu"
"Importer Status", "Status importera"
"Automation Report", "Raport automatyzacji"
"Automation Type", "Typ automatyzacji"
"Enrolment Status", "Status rejestracji"
"Automation Enrollment", "Rejestracja automatyzacji"
"Campaign", "Kampania"
"Campaign Report", "Raport kampanii"
"Campaign Sends", "Wysyłka kampanii"
"SMS Sends", "Wysyłka SMS"
"Cron Tasks", "Zadania Cron"
"Log Viewer", "Przegląd logów"
"Yotpo Reviews", "Opinie Yotpo"
"Google reCAPTCHA Admin Panel", "Google reCAPTCHA - panel admina"
"Google reCAPTCHA Storefront", "Google reCAPTCHA - front sklepu"
"Address Cleansing", "Oczyszczanie adresu"
"Accounts", "Konta"
"Bulk Actions", "Działania masowe"
"Simple Product", "Produkt prosty"
"Configurable Product", "Produkt konfigurowalny"
"Grouped Product", "Produkt grupowy"
"Virtual Product", "Produkt wirtualny"
"Bundle Product", "Produkt pakietowy"
"Downloadable Product", "Produkt do pobrania"
"Salable Quantity", "Ilość do sprzedaży"
"Product Salable Quantity", "Ilość produktu do sprzedaży"
"Display Product Options In", "Wyświetl opcje produktu w"
"Maximum file size: 4 MB. Allowed file types: JPG, GIF, PNG, SVG", "Maksymalny rozmiar pliku: 4 MB. Dozwolone typy plików: JPG, GIF, PNG, SVG"
"Edit with Page Builder", "Edytuj za pomocą Kreatora Stron"
"Drag Row, Columns, Tabs, Block, Dynamic Block or HTML Code here", "Przeciągnij tutaj wiersz, kolumny, karty, blok, blok dynamiczny lub kod HTML"
"Provided Zip/Postal Code seems to be invalid. Example: 12-345. If you believe it is the right one you can ignore this notice.", "Podany kod pocztowy wydaje się być nieprawidłowy. Przykład: 12-345. Jeśli uważasz, że jest to właściwe, możesz zignorować to powiadomienie."
"Something went wrong with your request. Please try again later.", "Coś poszło nie tak z Twoim zapytaniem. Spróbuj ponownie później."
"Hours of Operation:", "Godziny otwarcia sklepu:"
"Search Engine Robots", "SEO"
"Display on", "Wyświetl na"
"Page Top", "Góra strony"
"Sidebar Main", "Główny sidebar"
"Sidebar Main Top", "Sidebar (góra)"
"Sidebar Additional", "Sidebar dodatkowy"
"Sidebar Additional Top", "Sidebar dodatkowy (góra)"
"Main Content Area", "Główna zawartość (obszar)"
"Main Content Aside", "Główna zawartość (na boku)"
"Main Content Bottom", "Główna zawartość (na dole)"
"Main Content Container", "Główna zawartość (kontener)"
"Main Content Top", "Główna zawartość (na górze)"
"After Page Header", "Po nagłowku strony"
"After Page Header Top", "Po nagłówku strony (na górze)"
"Before Main Columns", "Przed głównymi kolumnami"
"Before Page Footer", "Przed stopką strony"
"Before Page Footer Container", "Przed stopką strony (kontener)"
"Page Bottom", "Dół strony"
"Page Footer", "Stopka strony"
"Page Footer Toolbar Content", "Stopka strony (zawartość toolbara)"
"Page Footer Bottom Toolbar Content", "Stopka strony (zawartość toolbara na dole)"
"Page Footer Container", "Stopka strony (kontener)"
"Page Header", "Nagłówek strony"
"Page Header Container", "Nagłówek strony (kontener)"
"Page Header Panel", "Nagłówek strony (panel)"
"Page Header Wrap"Inper", "Nagłówek strony (wraper)"
"CMS Footer Links", "Blok linków stopki"
"Compare Link Wrapper", "Kontener - link porównania"
"Mini-cart promotion block", "Mini-koszyk - blok promocyjny"
"Product Details Main Content Container", "Szczegóły produktu (pojemnik na zawartość główną)"
"Alert Urls", "Alerty Url"
"Product View Extra Hint", "Widok produktu - dodatkowa wskazówka"
"Product Extra Info", "Widok produktu - dodatkowe informacje"
"Product auxiliary info", "Widok produktu - dodatkowe informacje"
"Product info auxiliary container", "Widok produktu - dodatkowe informacje (kontener)"
"Product social links container", "Widok produktu - linki social (kontener)"
"Review Form Fields Before", "Formularz opinii (przed polami)"
"Cart Discount Container", "Koszyk - zniżka (kontener)"
"Cart Summary Container", "Koszyk - podsumowanie (kontener)"
"Empty Shopping Cart Content Before", "Pusty koszyk - przed zawartością"
"Payment Methods After Checkout Button", "Metody płatności po przycisku do kasy"
"Shopping Cart Totals", "Koszyk - podsumowanie"
"Shopping Cart Items Before", "Koszyk - przed listą elementów"
"Shopping Cart Items After", "Koszyk - za listą elementów"
"Contact Us Form", "Formularz kontaktowy"
"CMS Pages (All)", "Strony CMS (wszystkie)"
"Insert File...", "Wstaw plik..."
"Search Adobe Stock", "Przeszukaj Adobe Stock"
"This is a demo store. No orders will be fulfilled.", "UWAGA! To jest tylko sklep demonstracyjny. Żadne zamówienia nie zostaną zrealizowane."
"Enter your billing address to get a tax estimate.", "Wprowadź swój adres rozliczeniowy, aby uzyskać oszacowanie podatku."
"Show Password", "Pokaż hasło"
"Hide Password", "Ukryj hasło"
"Find items", "Znajdź elementy"
"Duplicate", "Duplikuj"
"Hide", "Ukryj"
"Show", "Pokaż"
"Media", "Media"
"HTML Code", "Kod HTML"
"Plain text only. HTML is not allowed.", "Tylko tekst. HTML jest niedowzolony."
"CMS homepage content goes here.", "Tutaj pojawi się zawartość CMS strony głównej."
"The store will not work correctly in the case when cookies are disabled.", "Sklep nie będzie działał poprawnie w przypadku wyłączenia obsługi plików cookies."
"Customer Login", "Logowanie klienta"
"Create New Customer Account", "Nowe konto klienta"
"Tax/VAT Number", "Numer NIP"
"If you created this account using Amazon Pay, you might not know your site password.", "Jeśli utworzyłeś to konto za pomocą Amazon Pay, możesz nie znać swojego hasła."
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page", "Aby zresetować hasło, <a href=""%1"">wyloguj się</a> i kliknij „Nie pamiętasz hasła?” na stronie logowania"
"Message from %customer_name:", "Wiadomość od %customer_name:"
"There was no Home CMS page configured or found.", "Nie została skonfigurowana ani znaleziona żadna strona główna CMS."
"There was no 404 CMS page configured or found.", "Nie została skonfigurowana ani znaleziona żadna strona 404 CMS."
"There is an error. Please Contact store administrator.", "Wystapił błąd sesji. Skontaktuj się z administratorem sklepu."
"Login as Customer", "Zaloguj się jako klient"
"Login as Customer not enabled", "Logowanie jako klient nie jest włączone"
"Login as Customer is disabled.", "Logowanie jako klient jest wyłączone"
"The user has not enabled the ""Allow remote shopping assistance"" functionality. ", "Użytkownik nie włączył funkcji ""Zezwalaj na zdalną pomoc w zakupach""."
"Contact the customer to discuss this user configuration.", "Skontaktuj się z klientem, aby omówić tę konfigurację użytkownika."
"Close Session", "Zamknij sesję"
"You are connected as <strong>%1</strong> on %2", "Jesteś połączony jako <strong>%1</strong> na %2"
"Login was not successful.", "Logowanie nie powiodło się."
"Fail to get authentication data.", "Nie udało się uzyskać danych uwierzytelniających."
"Login as Customer: Select Store", "Zaloguj się jako Klient: Wybierz Sklep"
"You are about to Login as Customer", "Zamierzasz się zalogować jako klient"
"Actions taken while in ""Login as Customer"" will affect actual customer data.", "Działania podejmowane w trybie ""Zaloguj się jako klient"" wpłyną na rzeczywiste dane klienta."
"Customer with this ID no longer exists.", "Klient o tym identyfikatorze już nie istnieje."
"Please select a Store to login in.", "Wybierz Sklep, w którym chcesz się zalogować."
"Auto-Detection (default)", "Automatyczne wykrywanie (domyślne)"
"Manual Selection", "Wybór ręczny"
"Unable to get Customer ID.", "Nie można uzyskać identyfikatora klienta."
"Unable to get Order ID.", "Nie można uzyskać identyfikatora zamówienia."
"Login as Customer assistance is disabled for this Customer.", "Logowanie jako obsługa klienta jest wyłączona dla tego klienta."
"You have no permission to change Opt-In preference.", "Nie masz uprawnień do zmiany preferencji 'Tak jeśli zgoda'."
"You are logged in as customer: %1", "Jesteś zalogowany jako klient: %1"
"You are logged in", "Jesteś zalogowany"
"Cannot login to account.", "Nie można zalogować się na konto."
"Customer email provided does not exist", "Podany adres e-mail klienta nie istnieje"
"Unable to generate tokens. ", "Nie można wygenerować tokenów. "
"Please wait and try again later.", "Poczekaj i spróbuj ponownie później."
"Check input params.", "Sprawdź parametry wejściowe."
"Specify the ""customer email"" value.", "Określ wartość ""adres e-mail klienta""."
"Allow remote shopping assistance is disabled.", "Opcja 'Zezwalaj na zdalną pomoc w zakupach' jest wyłączona."
"The current customer isn\'t authorized.", "Obecny klient nie jest autoryzowany."
"Login as Customer Log", "Dziennik zdarzeń z 'Zaloguj się jako klient'"
"Admin ID", "ID admina"
"Login as Customer Settings", "Ustawienia logowania jako klient"
"Enable Extension", "Włącz rozszerzenie"
"Disable Page Cache For Admin User", "Wyłącz pamięć podręczną stron dla użytkownika administratora"
"If set to ""Yes"", page caching is disabled when the Admin user is logged in as a customer.", "Jeśli ustawione na ""Tak"", buforowanie strony jest wyłączone, gdy użytkownik Admin jest zalogowany jako klient."
"Store To Login To", "Sklep do zalogowania"
"Use the ""Manual Selection"" option on a multi-website setup that has ""Share Customer Accounts"" enabled globally. If set to ""Manual Selection"", the ""Login as Customer"" admin can select a Store after logging in.", "Użyj opcji ""Wybór ręczny"" w konfiguracji obejmującej wiele witryn, w której ""Udostępnij konta klientów"" jest włączone globalnie. Jeśli jest ustawiony na ""Wybór ręczny"", administrator ""Zaloguj się jako klient"" może wybrać Sklep po zalogowaniu."
"Title for Login as Customer opt-in checkbox", "Tytuł dla pola wyboru logowania jako klienta"
"Login as Customer checkbox tooltip", "Tooltip pola wyboru Zaloguj się jako klient"
"This allows merchants to ""see what you see"" and take actions on your behalf in order to provide better assistance.", "Dzięki temu sprzedawcy mogą ""zobaczyć to, co widzisz"" i podejmować działania w Twoim imieniu w celu zapewnienia lepszej pomocy."
"There are no source items with the in stock status", "Brak pozycji źródłowych ze statusem w magazynie"
"Could not login to Adobe IMS.", "Nie można zalogować się do Adobe IMS."
"An error occurred during logout operation.", "Wystąpił błąd podczas operacji wylogowania."
"Could not save user profile.", "Nie można zapisać profilu użytkownika."
"Could not find user profile id: %id.", "Nie można znaleźć identyfikatora profilu użytkownika: %id."
"Could not retrieve assets.", "Nie można pobrać zasobów."
"Adobe Stock asset with id %id does not exist.", "Zasób Adobe Stock o identyfikatorze %id nie istnieje."
"Requested asset does not exist.", "Żądany zasób nie istnieje."
"Cannot retrieve assets from Adobe Stock.", "Nie można pobrać zasobów z usługi Adobe Stock."
"Could not delete Adobe Stock asset with id %id", "Nie można usunąć zasobu Adobe Stock o identyfikatorze %id"
"An error occurred during adobe stock asset save.", "Podczas zapisywania zasobów Adobe Stock wystąpił błąd."
"Could not delete Adobe Stock asset category with id %id", "Nie można usunąć kategorii zasobów Adobe Stock o identyfikatorze %id"
"Adobe Stock asset category with id ""%1"" does not exist.", "Kategoria zasobów Adobe Stock o identyfikatorze ""%1"" nie istnieje."
"Could not delete Adobe Stock asset creator with id %id", "Nie można usunąć twórcy zasobów Adobe Stock o identyfikatorze %id"
"Adobe Stock asset creator with id ""%1"" does not exist.", "Twórca zasobów Adobe Stock o identyfikatorze ""%1"" nie istnieje."
"Cannot retrieve the field %1. It's not available in Adobe Stock SDK", "Nie można pobrać pola %1. Nie jest dostępny w pakiecie Adobe Stock SDK"
"Files ids can not be empty.", "Identyfikatory plików nie mogą być puste."
"Could not retrieve files information.", "Nie można pobrać informacji o plikach."
"Adobe API Key is invalid!", "Klucz Adobe API jest nieprawidłowy!"
"Adobe Api Key is required!", "Wymagany jest klucz API Adobe!"
"Adobe API login has expired!", "Logowanie Adobe API wygasło!"
"Create attributes process failed: %error_message", "Proces tworzenia atrybutów nie powiódł się: %error_message"
"Could not load related assets for asset id: %id", "Nie można załadować powiązanych zasobów dla identyfikatora zasobu: %id"
"Image File has invalid characters.", "Plik obrazu zawiera nieprawidłowe znaki."
"Could not save image.", "Nie można zapisać obrazu."
"Could not save media gallery asset.", "Nie można zapisać zasobu galerii multimediów."
"Destination Path is too long; must be %1 characters or less", "Ścieżka docelowa jest za długa; musi mieć maksymalnie %1 znaków"
"Could not save image: destination directory is restricted.", "Nie można zapisać obrazu: katalog docelowy jest ograniczony."
"Could not save image: unsupported file type.", "Nie można zapisać obrazu: nieobsługiwany typ pliku."
"Image with the same file name already exits.", "Obraz o tej samej nazwie pliku już istnieje."
"Cannot gather stats! %1", "Nie można zbierać statystyk! %1"
"File cannot be read %1", "Nie można odczytać pliku %1"
"The ""%1"" CSV handle is incorrect. Verify the handle and try again.", "Uchwyt pliku CSV ""%1"" jest nieprawidłowy. Sprawdź uchwyt i spróbuj ponownie."
"An error occurred during ""%1"" execution.", "Wystąpił błąd podczas wykonywania ""%1""."
"An error occurred during ""%1"" fileSeek execution.", "Wystąpił błąd podczas przeszukiwania pliku ""%1""."
"An error occurred during ""%1"" fileFlush execution.", "Wystąpił błąd podczas wykonywania funkcji czyszczenia pliku ""%1""."
"An error occurred during ""%1"" fileLock execution.", "Wystąpił błąd podczas wykonywania blokady pliku ""%1""."
"An error occurred during ""%1"" fileUnlock execution.", "Wystąpił błąd podczas wykonywania funkcji odblokowania pliku ""%1""."
"Bucket and region are required values", "Kubeł i region to wartości wymagane"
"Value must contain ""model"" property.", "Wartość musi zawierać właściwość ""model""."
"""option_id"" value should be specified.", "Należy określić wartość ""option_id""."
"""selection_id"" value should be specified.", "Należy określić wartość ""selection_id""."
"""itemModel"" should be a ""%instance"" instance", """itemModel"" powinien być instancją ""%instance""."
"Product relations processor must implement %1.", "Procesor relacji z produktami musi zaimplementować %1."
"We can't save custom-defined options for bundles with dynamic pricing.", "Nie możemy zapisać niestandardowych opcji dla pakietów z cenami dynamicznymi."






"Authentication Failed. Your card issuer cannot authenticate this card. Please select another card or form of payment to complete your purchase.", "Uwierzytelnianie nie powiodło się. Wystawca Twojej karty nie może uwierzytelnić tej karty. Wybierz inną kartę lub formę płatności, aby sfinalizować zakup."
"Cannot resolve aggregation option type", "Nie można określić typu opcji agregacji"
"CategoryFilterInput type not defined in schema.", "Typ CategoryFilterInput nie jest zdefiniowany w schemacie."
"`%1` and `%2` can't be used at the same time.", "`%1` i `%2` nie mogą być używane jednocześnie."
"Invalid match filter. Minimum length is %1.", "Nieprawidłowy filtr dopasowania. Minimalna długość to %1."
"Attribute label: ", "Etykieta atrybutu: "
"Invalid format provided. Please use 'Y-m-d H:i:s' format.", "Podano nieprawidłowy format. Użyj formatu 'Y-m-d H:i:s'."
"currentPage value must be greater than 0.", "Wartość currentPage musi być większa niż 0."
